id,ticker,name,market,asset_type,ipo_date,delisting_date,status,timestamp,sector,logo_url
10695,9521.SR,Enma Al Rawabi Investment & Real Estate Development Company,4,1,,,Active,2024-06-21 22:46:42.441430,Real Estate,https://financialmodelingprep.com/image-stock/9521.SR.png
10694,9572.SR,Al-Razi Medical Co.,4,1,,,Active,2024-06-21 22:46:41.982060,Healthcare,https://financialmodelingprep.com/image-stock/9572.SR.png
10693,9587.SR,Lana Medical Co.,4,1,,,Active,2024-06-21 22:46:41.516774,Healthcare,https://financialmodelingprep.com/image-stock/9587.SR.png
10692,9519.SR,Banan Real Estate Company,4,1,,,Active,2024-06-21 22:46:41.055320,Real Estate,https://financialmodelingprep.com/image-stock/9519.SR.png
10691,9595.SR,WSM for Information Technology Co.,4,1,,,Active,2024-06-21 22:46:40.583360,Industrials,https://financialmodelingprep.com/image-stock/9595.SR.png
10690,9542.SR,Keir International Co.,4,1,,,Active,2024-06-21 22:46:40.095108,Technology,https://financialmodelingprep.com/image-stock/9542.SR.png
10689,9523.SR,Group Five Pipe Saudi Ltd.,4,1,,,Active,2024-06-21 22:46:39.620432,Basic Materials,https://financialmodelingprep.com/image-stock/9523.SR.png
10688,9515.SR,Fesh Fash Snack Food Production Company,4,1,,,Active,2024-06-21 22:46:39.154713,Consumer Defensive,https://financialmodelingprep.com/image-stock/9515.SR.png
10687,9568.SR,Mayar Holding Co.,4,1,,,Active,2024-06-21 22:46:38.686159,Industrials,https://financialmodelingprep.com/image-stock/9568.SR.png
10686,9528.SR,Gas Arabian Services Company,4,1,,,Active,2024-06-21 22:46:38.221469,Energy,https://financialmodelingprep.com/image-stock/9528.SR.png
10685,9580.SR,Al Rashid Industrial Co.,4,1,,,Active,2024-06-21 22:46:37.732576,Consumer Cyclical,https://financialmodelingprep.com/image-stock/9580.SR.png
10684,9561.SR,Knowledge Net Company,4,1,,,Active,2024-06-21 22:46:37.054201,Technology,https://financialmodelingprep.com/image-stock/9561.SR.png
10683,9559.SR,Balady Poultry Trading Co.,4,1,,,Active,2024-06-21 22:46:36.589662,Consumer Defensive,https://financialmodelingprep.com/image-stock/9559.SR.png
10682,9517.SR,National Fertilizer Company Ltd,4,1,,,Active,2024-06-21 22:46:36.102795,Basic Materials,https://financialmodelingprep.com/image-stock/9517.SR.png
10681,9551.SR,Knowledge Tower,4,1,,,Active,2024-06-21 22:46:35.611643,Consumer Cyclical,https://financialmodelingprep.com/image-stock/9551.SR.png
10680,9583.SR,United Mining Industries Co.,4,1,,,Active,2024-06-21 22:46:35.131785,Basic Materials,https://financialmodelingprep.com/image-stock/9583.SR.png
10679,9531.SR,Al Obeikan Glass Company,4,1,,,Active,2024-06-21 22:46:34.660490,Industrials,https://financialmodelingprep.com/image-stock/9531.SR.png
